"Datum        Vikt"
"2022-01-31   75.5kg"
"2022-02-01   75.3kg"
"2022-02-02"
"2022-02-03"
"2022-02-04   74.5kg"
"2022-02-05"
"2022-02-06   74.4kg"
"2022-02-07   74.3kg"
"2022-02-08"
"2022-02-09   75.7kg"
"2022-02-10   75kg"
"2022-02-11   75.1kg"
"2022-02-12   74.9kg"
"2022-02-13   73.9kg"
"2022-02-14   74.5kg"
"2022-02-15   74.8kg"
"2022-02-16   74.9kg"
"2022-02-17   75.4kg"
"2022-02-18   75.9kg"
"2022-02-19"
"2022-02-20   75.2kg"
"2022-02-21   74.5kg"
"2022-02-22   74.4kg"
"2022-02-23   75.2kg"
"2022-02-24   74.8kg"
"2022-02-25"
"2022-02-26"
"2022-02-27   72.6kg"
"..."
"2022-05-08              75.9kg"
"..."
"2022-05-16              75.5kg"
"..."
"2022-06-04              74.9kg"
"..."
"2022-08-08          72.9kg"
"2022-08-09          71.9kg"
"¨..."
"2022-10-12          76.5kg"
"2022-10-13          76.1kg"
"2022-10-14"
"2022-10-15"
"2022-10-16          76.0kg"
"2022-10-17          76.1kg"
"2022-10-18          76.8kg"
"2022-10-19          76.7kg"
"2022-10-20          76.2kg"
"2022-10-21"
"2022-10-22          76.6kg"
"2022-10-23          76.4kg"
"2022-10-24          76.6kg"
"2022-10-25          76.4kg"
"2022-10-26          76.5kg"
"2022-10-27          75.6kg"
"2022-10-28          75.1kg"
"2022-10-29          75.2kg"
"2022-10-30          75.1kg"
"2022-10-31          75.1kg"
"2022-11-01          75.4kg"
"2022-11-02   76.4kg"
"2022-11-03   75.8kg"
"2022-11-04   76.2kg"
"2022-11-05   76.3kg"
"2022-11-06   76.8kg"
"2022-11-07   77.0kg"
"2022-11-08   76.9kg"
"2022-11-09   76.2kg"
"2022-11-10"
"2022-11-11   76.6kg"
"2022-11-12   77.2kg"
"2022-11-13   76.8kg"
"2022-11-14   77.1kg"
"2022-11-15"
"2022-11-16   76.3kg"
"2022-11-17   76.6kg"
"2022-11-18   77.3kg"
"2022-11-19   77.2kg"
"2022-11-20   77.2kg"
"2022-11-21   77.9kg"
"2022-11-22   76.4kg"
"2022-11-23   77.4kg"
"2022-11-24   77.6kg"
"2022-11-25"
"2022-11-26"
"2022-11-27"
"2022-11-28   76.0kg   (Första dagen då jag typ börjar fasta, ingen middag, bara protein lunch)"
